raceId,year,round,circuitId,name,date,time,,,,,,,,,,,
865,2012,6,6,Monaco Grand Prix,27/05/2012,12:00:00,,,,,,,,,,,
866,2012,7,7,Canadian Grand Prix,10/06/2012,18:00:00,,,,,,,,,,,
867,2012,8,12,European Grand Prix,24/06/2012,12:00:00,,,,,,,,,,,
868,2012,9,9,British Grand Prix,08/07/2012,12:00:00,,,,,,,,,,,
869,2012,10,10,German Grand Prix,22/07/2012,12:00:00,,,,,,,,,,,
870,2012,11,11,Hungarian Grand Prix,29/07/2012,12:00:00,,,,,,,,,,,
871,2012,12,13,Belgian Grand Prix,02/09/2012,12:00:00,,,,,,,,,,,
872,2012,13,14,Italian Grand Prix,09/09/2012,12:00:00,,,,,,,,,,,
873,2012,14,15,Singapore Grand Prix,23/09/2012,12:00:00,,,,,,,,,,,
874,2012,15,22,Japanese Grand Prix,07/10/2012,06:00:00,,,,,,,,,,,
875,2012,16,35,Korean Grand Prix,14/10/2012,06:00:00,,,,,,,,,,,
876,2012,17,68,Indian Grand Prix,28/10/2012,09:30:00,,,,,,,,,,,
877,2012,18,24,Abu Dhabi Grand Prix,04/11/2012,13:00:00,,,,,,,,,,,
878,2012,19,69,United States Grand Prix,18/11/2012,19:00:00,,,,,,,,,,,
879,2012,20,18,Brazilian Grand Prix,25/11/2012,16:00:00,,,,,,,,,,,
880,2013,1,1,Australian Grand Prix,17/03/2013,06:00:00,,,,,,,,,,,
881,2013,2,2,Malaysian Grand Prix,24/03/2013,08:00:00,,,,,,,,,,,
882,2013,3,17,Chinese Grand Prix,14/04/2013,07:00:00,,,,,,,,,,,
883,2013,4,3,Bahrain Grand Prix,21/04/2013,12:00:00,,,,,,,,,,,
884,2013,5,4,Spanish Grand Prix,12/05/2013,12:00:00,,,,,,,,,,,
885,2013,6,6,Monaco Grand Prix,26/05/2013,12:00:00,,,,,,,,,,,
886,2013,7,7,Canadian Grand Prix,09/06/2013,18:00:00,,,,,,,,,,,
887,2013,8,9,British Grand Prix,30/06/2013,12:00:00,,,,,,,,,,,
888,2013,9,20,German Grand Prix,07/07/2013,12:00:00,,,,,,,,,,,
890,2013,10,11,Hungarian Grand Prix,28/07/2013,12:00:00,,,,,,,,,,,
891,2013,11,13,Belgian Grand Prix,25/08/2013,12:00:00,,,,,,,,,,,
892,2013,12,14,Italian Grand Prix,08/09/2013,12:00:00,,,,,,,,,,,
893,2013,13,15,Singapore Grand Prix,22/09/2013,12:00:00,,,,,,,,,,,
894,2013,14,35,Korean Grand Prix,06/10/2013,06:00:00,,,,,,,,,,,
895,2013,15,22,Japanese Grand Prix,13/10/2013,06:00:00,,,,,,,,,,,
896,2013,16,68,Indian Grand Prix,27/10/2013,09:30:00,,,,,,,,,,,
897,2013,17,24,Abu Dhabi Grand Prix,03/11/2013,13:00:00,,,,,,,,,,,
898,2013,18,69,United States Grand Prix,17/11/2013,19:00:00,,,,,,,,,,,
899,2013,19,18,Brazilian Grand Prix,24/11/2013,16:00:00,,,,,,,,,,,
900,2014,1,1,Australian Grand Prix,16/03/2014,06:00:00,,,,,,,,,,,
901,2014,2,2,Malaysian Grand Prix,30/03/2014,08:00:00,,,,,,,,,,,
902,2014,3,3,Bahrain Grand Prix,06/04/2014,15:00:00,,,,,,,,,,,
903,2014,4,17,Chinese Grand Prix,20/04/2014,07:00:00,,,,,,,,,,,
904,2014,5,4,Spanish Grand Prix,11/05/2014,12:00:00,,,,,,,,,,,
905,2014,6,6,Monaco Grand Prix,25/05/2014,12:00:00,,,,,,,,,,,
906,2014,7,7,Canadian Grand Prix,08/06/2014,18:00:00,,,,,,,,,,,
907,2014,8,70,Austrian Grand Prix,22/06/2014,12:00:00,,,,,,,,,,,
908,2014,9,9,British Grand Prix,06/07/2014,12:00:00,,,,,,,,,,,
909,2014,10,10,German Grand Prix,20/07/2014,12:00:00,,,,,,,,,,,
910,2014,11,11,Hungarian Grand Prix,27/07/2014,12:00:00,,,,,,,,,,,
911,2014,12,13,Belgian Grand Prix,24/08/2014,12:00:00,,,,,,,,,,,
912,2014,13,14,Italian Grand Prix,07/09/2014,12:00:00,,,,,,,,,,,
913,2014,14,15,Singapore Grand Prix,21/09/2014,12:00:00,,,,,,,,,,,
914,2014,15,22,Japanese Grand Prix,05/10/2014,06:00:00,,,,,,,,,,,
915,2014,16,71,Russian Grand Prix,12/10/2014,11:00:00,,,,,,,,,,,
916,2014,17,69,United States Grand Prix,02/11/2014,20:00:00,,,,,,,,,,,
917,2014,18,18,Brazilian Grand Prix,09/11/2014,16:00:00,,,,,,,,,,,
918,2014,19,24,Abu Dhabi Grand Prix,23/11/2014,13:00:00,,,,,,,,,,,
931,2015,6,6,Monaco Grand Prix,24/05/2015,12:00:00,,,,,,,,,,,
932,2015,7,7,Canadian Grand Prix,07/06/2015,18:00:00,,,,,,,,,,,
929,2015,4,3,Bahrain Grand Prix,19/04/2015,15:00:00,,,,,,,,,,,
930,2015,5,4,Spanish Grand Prix,10/05/2015,12:00:00,,,,,,,,,,,
928,2015,3,17,Chinese Grand Prix,12/04/2015,06:00:00,,,,,,,,,,,
926,2015,1,1,Australian Grand Prix,15/03/2015,05:00:00,,,,,,,,,,,
927,2015,2,2,Malaysian Grand Prix,29/03/2015,07:00:00,,,,,,,,,,,
933,2015,8,70,Austrian Grand Prix,21/06/2015,12:00:00,,,,,,,,,,,
934,2015,9,9,British Grand Prix,05/07/2015,12:00:00,,,,,,,,,,,
936,2015,10,11,Hungarian Grand Prix,26/07/2015,12:00:00,,,,,,,,,,,
937,2015,11,13,Belgian Grand Prix,23/08/2015,12:00:00,,,,,,,,,,,
938,2015,12,14,Italian Grand Prix,06/09/2015,12:00:00,,,,,,,,,,,
939,2015,13,15,Singapore Grand Prix,20/09/2015,12:00:00,,,,,,,,,,,
940,2015,14,22,Japanese Grand Prix,27/09/2015,05:00:00,,,,,,,,,,,
941,2015,15,71,Russian Grand Prix,11/10/2015,11:00:00,,,,,,,,,,,
942,2015,16,69,United States Grand Prix,25/10/2015,19:00:00,,,,,,,,,,,
943,2015,17,32,Mexican Grand Prix,01/11/2015,19:00:00,,,,,,,,,,,
944,2015,18,18,Brazilian Grand Prix,15/11/2015,16:00:00,,,,,,,,,,,
945,2015,19,24,Abu Dhabi Grand Prix,29/11/2015,13:00:00,,,,,,,,,,,
948,2016,1,1,Australian Grand Prix,20/03/2016,05:00:00,,,,,,,,,,,
949,2016,2,3,Bahrain Grand Prix,03/04/2016,15:00:00,,,,,,,,,,,
950,2016,3,17,Chinese Grand Prix,17/04/2016,06:00:00,,,,,,,,,,,
951,2016,4,71,Russian Grand Prix,01/05/2016,12:00:00,,,,,,,,,,,
952,2016,5,4,Spanish Grand Prix,15/05/2016,12:00:00,,,,,,,,,,,
953,2016,6,6,Monaco Grand Prix,29/05/2016,12:00:00,,,,,,,,,,,
954,2016,7,7,Canadian Grand Prix,12/06/2016,18:00:00,,,,,,,,,,,
955,2016,8,73,European Grand Prix,19/06/2016,13:00:00,,,,,,,,,,,
956,2016,9,70,Austrian Grand Prix,03/07/2016,12:00:00,,,,,,,,,,,
957,2016,10,9,British Grand Prix,10/07/2016,12:00:00,,,,,,,,,,,
958,2016,11,11,Hungarian Grand Prix,24/07/2016,12:00:00,,,,,,,,,,,
959,2016,12,10,German Grand Prix,31/07/2016,12:00:00,,,,,,,,,,,
960,2016,13,13,Belgian Grand Prix,28/08/2016,12:00:00,,,,,,,,,,,
961,2016,14,14,Italian Grand Prix,04/09/2016,12:00:00,,,,,,,,,,,
962,2016,15,15,Singapore Grand Prix,18/09/2016,12:00:00,,,,,,,,,,,
963,2016,16,2,Malaysian Grand Prix,02/10/2016,07:00:00,,,,,,,,,,,
964,2016,17,22,Japanese Grand Prix,09/10/2016,05:00:00,,,,,,,,,,,
965,2016,18,69,United States Grand Prix,23/10/2016,19:00:00,,,,,,,,,,,
966,2016,19,32,Mexican Grand Prix,30/10/2016,19:00:00,,,,,,,,,,,
967,2016,20,18,Brazilian Grand Prix,13/11/2016,16:00:00,,,,,,,,,,,
968,2016,21,24,Abu Dhabi Grand Prix,27/11/2016,13:00:00,,,,,,,,,,,
969,2017,1,1,Australian Grand Prix,26/03/2017,05:00:00,,,,,,,,,,,
970,2017,2,17,Chinese Grand Prix,09/04/2017,06:00:00,,,,,,,,,,,
971,2017,3,3,Bahrain Grand Prix,16/04/2017,15:00:00,,,,,,,,,,,
972,2017,4,71,Russian Grand Prix,30/04/2017,12:00:00,,,,,,,,,,,
973,2017,5,4,Spanish Grand Prix,14/05/2017,12:00:00,,,,,,,,,,,
974,2017,6,6,Monaco Grand Prix,28/05/2017,12:00:00,,,,,,,,,,,
975,2017,7,7,Canadian Grand Prix,11/06/2017,18:00:00,,,,,,,,,,,
976,2017,8,73,Azerbaijan Grand Prix,25/06/2017,13:00:00,,,,,,,,,,,
977,2017,9,70,Austrian Grand Prix,09/07/2017,12:00:00,,,,,,,,,,,
978,2017,10,9,British Grand Prix,16/07/2017,12:00:00,,,,,,,,,,,
979,2017,11,11,Hungarian Grand Prix,30/07/2017,12:00:00,,,,,,,,,,,
980,2017,12,13,Belgian Grand Prix,27/08/2017,12:00:00,,,,,,,,,,,
981,2017,13,14,Italian Grand Prix,03/09/2017,12:00:00,,,,,,,,,,,
982,2017,14,15,Singapore Grand Prix,17/09/2017,12:00:00,,,,,,,,,,,
983,2017,15,2,Malaysian Grand Prix,01/10/2017,07:00:00,,,,,,,,,,,
984,2017,16,22,Japanese Grand Prix,08/10/2017,05:00:00,,,,,,,,,,,
985,2017,17,69,United States Grand Prix,22/10/2017,19:00:00,,,,,,,,,,,
986,2017,18,32,Mexican Grand Prix,29/10/2017,19:00:00,,,,,,,,,,,
987,2017,19,18,Brazilian Grand Prix,12/11/2017,16:00:00,,,,,,,,,,,
988,2017,20,24,Abu Dhabi Grand Prix,26/11/2017,13:00:00,,,,,,,,,,,
989,2018,1,1,Australian Grand Prix,25/03/2018,05:10:00,,,,,,,,,,,
990,2018,2,3,Bahrain Grand Prix,08/04/2018,15:10:00,,,,,,,,,,,
991,2018,3,17,Chinese Grand Prix,15/04/2018,06:10:00,,,,,,,,,,,
992,2018,4,73,Azerbaijan Grand Prix,29/04/2018,12:10:00,,,,,,,,,,,
993,2018,5,4,Spanish Grand Prix,13/05/2018,13:10:00,,,,,,,,,,,
994,2018,6,6,Monaco Grand Prix,27/05/2018,13:10:00,,,,,,,,,,,
995,2018,7,7,Canadian Grand Prix,10/06/2018,18:10:00,,,,,,,,,,,
996,2018,8,34,French Grand Prix,24/06/2018,14:10:00,,,,,,,,,,,
997,2018,9,70,Austrian Grand Prix,01/07/2018,13:10:00,,,,,,,,,,,
998,2018,10,9,British Grand Prix,08/07/2018,13:10:00,,,,,,,,,,,
999,2018,11,10,German Grand Prix,22/07/2018,13:10:00,,,,,,,,,,,
1000,2018,12,11,Hungarian Grand Prix,29/07/2018,13:10:00,,,,,,,,,,,
1001,2018,13,13,Belgian Grand Prix,26/08/2018,13:10:00,,,,,,,,,,,
1002,2018,14,14,Italian Grand Prix,02/09/2018,13:10:00,,,,,,,,,,,
1003,2018,15,15,Singapore Grand Prix,16/09/2018,12:10:00,,,,,,,,,,,
1004,2018,16,71,Russian Grand Prix,30/09/2018,11:10:00,,,,,,,,,,,
1005,2018,17,22,Japanese Grand Prix,07/10/2018,05:10:00,,,,,,,,,,,
1006,2018,18,69,United States Grand Prix,21/10/2018,18:10:00,,,,,,,,,,,
1007,2018,19,32,Mexican Grand Prix,28/10/2018,19:10:00,,,,,,,,,,,
1008,2018,20,18,Brazilian Grand Prix,11/11/2018,17:10:00,,,,,,,,,,,
1009,2018,21,24,Abu Dhabi Grand Prix,25/11/2018,13:10:00,,,,,,,,,,,
1010,2019,1,1,Australian Grand Prix,17/03/2019,05:10:00,,,,,,,,,,,
1011,2019,2,3,Bahrain Grand Prix,31/03/2019,15:10:00,,,,,,,,,,,
1012,2019,3,17,Chinese Grand Prix,14/04/2019,06:10:00,,,,,,,,,,,
1013,2019,4,73,Azerbaijan Grand Prix,28/04/2019,12:10:00,,,,,,,,,,,
1014,2019,5,4,Spanish Grand Prix,12/05/2019,13:10:00,,,,,,,,,,,
1015,2019,6,6,Monaco Grand Prix,26/05/2019,13:10:00,,,,,,,,,,,
1016,2019,7,7,Canadian Grand Prix,09/06/2019,18:10:00,,,,,,,,,,,
1017,2019,8,34,French Grand Prix,23/06/2019,13:10:00,,,,,,,,,,,
1018,2019,9,70,Austrian Grand Prix,30/06/2019,13:10:00,,,,,,,,,,,
1019,2019,10,9,British Grand Prix,14/07/2019,13:10:00,,,,,,,,,,,
1020,2019,11,10,German Grand Prix,28/07/2019,13:10:00,,,,,,,,,,,
1021,2019,12,11,Hungarian Grand Prix,04/08/2019,13:10:00,,,,,,,,,,,
1022,2019,13,13,Belgian Grand Prix,01/09/2019,13:10:00,,,,,,,,,,,
1023,2019,14,14,Italian Grand Prix,08/09/2019,13:10:00,,,,,,,,,,,
1024,2019,15,15,Singapore Grand Prix,22/09/2019,12:10:00,,,,,,,,,,,
1025,2019,16,71,Russian Grand Prix,29/09/2019,11:10:00,,,,,,,,,,,
1026,2019,17,22,Japanese Grand Prix,13/10/2019,05:10:00,,,,,,,,,,,
1027,2019,18,32,Mexican Grand Prix,27/10/2019,19:10:00,,,,,,,,,,,
1028,2019,19,69,United States Grand Prix,03/11/2019,19:10:00,,,,,,,,,,,
1029,2019,20,18,Brazilian Grand Prix,17/11/2019,17:10:00,,,,,,,,,,,
1030,2019,21,24,Abu Dhabi Grand Prix,01/12/2019,13:10:00,,,,,,,,,,,
1031,2020,1,70,Austrian Grand Prix,05/07/2020,13:10:00,,,,,,,,,,,
1032,2020,2,70,Styrian Grand Prix,12/07/2020,13:10:00,,,,,,,,,,,
1033,2020,3,11,Hungarian Grand Prix,19/07/2020,13:10:00,,,,,,,,,,,
1034,2020,4,9,British Grand Prix,02/08/2020,13:10:00,,,,,,,,,,,
1035,2020,5,9,70th Anniversary Grand Prix,09/08/2020,13:10:00,,,,,,,,,,,
1036,2020,6,4,Spanish Grand Prix,16/08/2020,13:10:00,,,,,,,,,,,
1037,2020,7,13,Belgian Grand Prix,30/08/2020,13:10:00,,,,,,,,,,,
1038,2020,8,14,Italian Grand Prix,06/09/2020,13:10:00,,,,,,,,,,,
1039,2020,9,76,Tuscan Grand Prix,13/09/2020,13:10:00,,,,,,,,,,,
1040,2020,10,71,Russian Grand Prix,27/09/2020,11:10:00,,,,,,,,,,,
1041,2020,11,20,Eifel Grand Prix,11/10/2020,13:10:00,,,,,,,,,,,
1042,2020,12,75,Portuguese Grand Prix,25/10/2020,12:10:00,,,,,,,,,,,
1043,2020,13,21,Emilia Romagna Grand Prix,01/11/2020,12:10:00,,,,,,,,,,,
1044,2020,14,5,Turkish Grand Prix,15/11/2020,10:10:00,,,,,,,,,,,
1045,2020,15,3,Bahrain Grand Prix,29/11/2020,14:10:00,,,,,,,,,,,
1046,2020,16,3,Sakhir Grand Prix,06/12/2020,17:10:00,,,,,,,,,,,
1047,2020,17,24,Abu Dhabi Grand Prix,13/12/2020,13:10:00,,,,,,,,,,,
1053,2021,2,21,Emilia Romagna Grand Prix,18/04/2021,13:00:00,,,,,,,,,,,
1074,2022,1,3,Bahrain Grand Prix,20/03/2022,15:00:00,,,,,,,,,,,
1052,2021,1,3,Bahrain Grand Prix,28/03/2021,15:00:00,,,,,,,,,,,
1051,2021,20,78,Qatar Grand Prix,21/11/2021,14:00:00,,,,,,,,,,,
1054,2021,3,75,Portuguese Grand Prix,02/05/2021,14:00:00,,,,,,,,,,,
1055,2021,4,4,Spanish Grand Prix,09/05/2021,13:00:00,,,,,,,,,,,
1056,2021,5,6,Monaco Grand Prix,23/05/2021,13:00:00,,,,,,,,,,,
1057,2021,6,73,Azerbaijan Grand Prix,06/06/2021,12:00:00,,,,,,,,,,,
1058,2021,8,70,Styrian Grand Prix,27/06/2021,13:00:00,,,,,,,,,,,
1059,2021,7,34,French Grand Prix,20/06/2021,13:00:00,,,,,,,,,,,
1060,2021,9,70,Austrian Grand Prix,04/07/2021,13:00:00,,,,,,,,,,,
1061,2021,10,9,British Grand Prix,18/07/2021,14:00:00,,,,,,,,,,,
1062,2021,11,11,Hungarian Grand Prix,01/08/2021,13:00:00,,,,,,,,,,,
1063,2021,12,13,Belgian Grand Prix,29/08/2021,13:00:00,,,,,,,,,,,
1064,2021,13,39,Dutch Grand Prix,05/09/2021,13:00:00,,,,,,,,,,,
1065,2021,14,14,Italian Grand Prix,12/09/2021,13:00:00,,,,,,,,,,,
1066,2021,15,71,Russian Grand Prix,26/09/2021,12:00:00,,,,,,,,,,,
1067,2021,16,5,Turkish Grand Prix,10/10/2021,12:00:00,,,,,,,,,,,
1069,2021,17,69,United States Grand Prix,24/10/2021,19:00:00,,,,,,,,,,,
1070,2021,18,32,Mexico City Grand Prix,07/11/2021,19:00:00,,,,,,,,,,,
1071,2021,19,18,So Paulo Grand Prix,14/11/2021,17:00:00,,,,,,,,,,,
1072,2021,21,77,Saudi Arabian Grand Prix,05/12/2021,17:30:00,,,,,,,,,,,
1073,2021,22,24,Abu Dhabi Grand Prix,12/12/2021,13:00:00,,,,,,,,,,,
1075,2022,2,77,Saudi Arabian Grand Prix,27/03/2022,17:00:00,,,,,,,,,,,
1076,2022,3,1,Australian Grand Prix,10/04/2022,05:00:00,,,,,,,,,,,
1077,2022,4,21,Emilia Romagna Grand Prix,24/04/2022,13:00:00,,,,,,,,,,,
1078,2022,5,79,Miami Grand Prix,08/05/2022,19:30:00,,,,,,,,,,,
1079,2022,6,4,Spanish Grand Prix,22/05/2022,13:00:00,,,,,,,,,,,
1080,2022,7,6,Monaco Grand Prix,29/05/2022,13:00:00,,,,,,,,,,,
1081,2022,8,73,Azerbaijan Grand Prix,12/06/2022,11:00:00,,,,,,,,,,,
1082,2022,9,7,Canadian Grand Prix,19/06/2022,18:00:00,,,,,,,,,,,
1083,2022,10,9,British Grand Prix,03/07/2022,14:00:00,,,,,,,,,,,
1084,2022,11,70,Austrian Grand Prix,10/07/2022,13:00:00,,,,,,,,,,,
1085,2022,12,34,French Grand Prix,24/07/2022,13:00:00,,,,,,,,,,,
1086,2022,13,11,Hungarian Grand Prix,31/07/2022,13:00:00,,,,,,,,,,,
1087,2022,14,13,Belgian Grand Prix,28/08/2022,13:00:00,,,,,,,,,,,
1088,2022,15,39,Dutch Grand Prix,04/09/2022,13:00:00,,,,,,,,,,,
1089,2022,16,14,Italian Grand Prix,11/09/2022,13:00:00,,,,,,,,,,,
1091,2022,17,15,Singapore Grand Prix,02/10/2022,12:00:00,,,,,,,,,,,
1092,2022,18,22,Japanese Grand Prix,09/10/2022,05:00:00,,,,,,,,,,,
1093,2022,19,69,United States Grand Prix,23/10/2022,19:00:00,,,,,,,,,,,
1094,2022,20,32,Mexico City Grand Prix,30/10/2022,20:00:00,,,,,,,,,,,
1095,2022,21,18,So Paulo Grand Prix,13/11/2022,18:00:00,,,,,,,,,,,
1096,2022,22,24,Abu Dhabi Grand Prix,20/11/2022,13:00:00,,,,,,,,,,,
1098,2023,1,3,Bahrain Grand Prix,05/03/2023,15:00:00,,,,,,,,,,,
1099,2023,2,77,Saudi Arabian Grand Prix,19/03/2023,17:00:00,,,,,,,,,,,
1100,2023,3,1,Australian Grand Prix,02/04/2023,05:00:00,,,,,,,,,,,
1101,2023,4,73,Azerbaijan Grand Prix,30/04/2023,11:00:00,,,,,,,,,,,
1102,2023,5,79,Miami Grand Prix,07/05/2023,19:30:00,,,,,,,,,,,
1104,2023,6,6,Monaco Grand Prix,28/05/2023,13:00:00,,,,,,,,,,,
1105,2023,7,4,Spanish Grand Prix,04/06/2023,13:00:00,,,,,,,,,,,
1106,2023,8,7,Canadian Grand Prix,18/06/2023,18:00:00,,,,,,,,,,,
1107,2023,9,70,Austrian Grand Prix,02/07/2023,13:00:00,,,,,,,,,,,
1108,2023,10,9,British Grand Prix,09/07/2023,14:00:00,,,,,,,,,,,
1109,2023,11,11,Hungarian Grand Prix,23/07/2023,13:00:00,,,,,,,,,,,
1110,2023,12,13,Belgian Grand Prix,30/07/2023,13:00:00,,,,,,,,,,,
1111,2023,13,39,Dutch Grand Prix,27/08/2023,13:00:00,,,,,,,,,,,
1112,2023,14,14,Italian Grand Prix,03/09/2023,13:00:00,,,,,,,,,,,
1113,2023,15,15,Singapore Grand Prix,17/09/2023,12:00:00,,,,,,,,,,,
1114,2023,16,22,Japanese Grand Prix,24/09/2023,05:00:00,,,,,,,,,,,
1115,2023,17,78,Qatar Grand Prix,08/10/2023,17:00:00,,,,,,,,,,,
1116,2023,18,69,United States Grand Prix,22/10/2023,19:00:00,,,,,,,,,,,
1117,2023,19,32,Mexico City Grand Prix,29/10/2023,20:00:00,,,,,,,,,,,
1118,2023,20,18,So Paulo Grand Prix,05/11/2023,17:00:00,,,,,,,,,,,
1119,2023,21,80,Las Vegas Grand Prix,19/11/2023,06:00:00,,,,,,,,,,,
1120,2023,22,24,Abu Dhabi Grand Prix,26/11/2023,13:00:00,,,,,,,,,,,
1121,2024,1,3,Bahrain Grand Prix,02/03/2024,15:00:00,,,,,,,,,,,
1122,2024,2,77,Saudi Arabian Grand Prix,09/03/2024,17:00:00,,,,,,,,,,,
1123,2024,3,1,Australian Grand Prix,24/03/2024,04:00:00,,,,,,,,,,,
1124,2024,4,22,Japanese Grand Prix,07/04/2024,05:00:00,,,,,,,,,,,
1125,2024,5,17,Chinese Grand Prix,21/04/2024,07:00:00,,,,,,,,,,,
1126,2024,6,79,Miami Grand Prix,05/05/2024,20:00:00,,,,,,,,,,,
1127,2024,7,21,Emilia Romagna Grand Prix,19/05/2024,13:00:00,,,,,,,,,,,
1128,2024,8,6,Monaco Grand Prix,26/05/2024,13:00:00,,,,,,,,,,,
1129,2024,9,7,Canadian Grand Prix,09/06/2024,18:00:00,,,,,,,,,,,
1130,2024,10,4,Spanish Grand Prix,23/06/2024,13:00:00,,,,,,,,,,,
1131,2024,11,70,Austrian Grand Prix,30/06/2024,13:00:00,,,,,,,,,,,
1132,2024,12,9,British Grand Prix,07/07/2024,14:00:00,,,,,,,,,,,
1133,2024,13,11,Hungarian Grand Prix,21/07/2024,13:00:00,,,,,,,,,,,
1134,2024,14,13,Belgian Grand Prix,28/07/2024,13:00:00,,,,,,,,,,,
1135,2024,15,39,Dutch Grand Prix,25/08/2024,13:00:00,,,,,,,,,,,
1136,2024,16,14,Italian Grand Prix,01/09/2024,13:00:00,,,,,,,,,,,
1137,2024,17,73,Azerbaijan Grand Prix,15/09/2024,11:00:00,,,,,,,,,,,
1138,2024,18,15,Singapore Grand Prix,22/09/2024,12:00:00,,,,,,,,,,,
1139,2024,19,69,United States Grand Prix,20/10/2024,19:00:00,,,,,,,,,,,
1140,2024,20,32,Mexico City Grand Prix,27/10/2024,20:00:00,,,,,,,,,,,
1141,2024,21,18,So Paulo Grand Prix,03/11/2024,17:00:00,,,,,,,,,,,
1142,2024,22,80,Las Vegas Grand Prix,23/11/2024,06:00:00,,,,,,,,,,,
1143,2024,23,78,Qatar Grand Prix,01/12/2024,17:00:00,,,,,,,,,,,
1144,2024,24,24,Abu Dhabi Grand Prix,08/12/2024,13:00:00,,,,,,,,,,,
